trip_id,arrival_time,departure_time,stop_id,stop_sequence
7,16:30:00,16:30:00,blue-1,1
7,16:33:00,16:33:00,blue-2,2
7,16:37:00,16:37:00,blue-3,3
7,16:40:00,16:40:00,blue-4,4
7,16:45:00,16:45:00,blue-5,5
7,16:55:00,16:55:00,blue-6,6
7,16:58:00,16:58:00,blue-7,7
7,17:00:00,17:00:00,blue-8,8
7,17:10:00,17:10:00,blue-9,9
7,17:15:00,17:15:00,blue-10,10
7,17:20:00,17:20:00,blue-11,11
7,17:23:00,17:23:00,blue-12,12
7,17:26:00,17:26:00,blue-1,13
7,17:00:00,17:00:00,blue-1,1
7,17:03:00,17:03:00,blue-2,2
7,17:07:00,17:07:00,blue-3,3
7,17:10:00,17:10:00,blue-4,4
7,17:15:00,17:15:00,blue-5,5
7,17:25:00,17:25:00,blue-6,6
7,17:28:00,17:28:00,blue-7,7
7,17:30:00,17:30:00,blue-8,8
7,17:40:00,17:40:00,blue-9,9
7,17:45:00,17:45:00,blue-10,10
7,17:50:00,17:50:00,blue-11,11
7,17:53:00,17:53:00,blue-12,12
7,17:56:00,17:56:00,blue-1,13
7,17:30:00,17:30:00,blue-1,1
7,17:33:00,17:33:00,blue-2,2
7,17:37:00,17:37:00,blue-3,3
7,17:40:00,17:40:00,blue-4,4
7,17:45:00,17:45:00,blue-5,5
7,17:55:00,17:55:00,blue-6,6
7,17:58:00,17:58:00,blue-7,7
7,18:00:00,18:00:00,blue-8,8
7,18:10:00,18:10:00,blue-9,9
7,18:15:00,18:15:00,blue-10,10
7,18:20:00,18:20:00,blue-11,11
7,18:23:00,18:23:00,blue-12,12
7,18:26:00,18:26:00,blue-1,13
7,18:00:00,18:00:00,blue-1,1
7,18:03:00,18:03:00,blue-2,2
7,18:07:00,18:07:00,blue-3,3
7,18:10:00,18:10:00,blue-4,4
7,18:15:00,18:15:00,blue-5,5
7,18:25:00,18:25:00,blue-6,6
7,18:28:00,18:28:00,blue-7,7
7,18:30:00,18:30:00,blue-8,8
7,18:40:00,18:40:00,blue-9,9
7,18:45:00,18:45:00,blue-10,10
7,18:50:00,18:50:00,blue-11,11
7,18:53:00,18:53:00,blue-12,12
7,18:56:00,18:56:00,blue-1,13
7,18:30:00,18:30:00,blue-1,1
7,18:33:00,18:33:00,blue-2,2
7,18:37:00,18:37:00,blue-3,3
7,18:40:00,18:40:00,blue-4,4
7,18:45:00,18:45:00,blue-5,5
7,18:55:00,18:55:00,blue-6,6
7,18:58:00,18:58:00,blue-7,7
7,19:00:00,19:00:00,blue-8,8
7,19:10:00,19:10:00,blue-9,9
7,19:15:00,19:15:00,blue-10,10
7,19:20:00,19:20:00,blue-11,11
7,19:23:00,19:23:00,blue-12,12
7,19:26:00,19:26:00,blue-1,13
7,19:00:00,19:00:00,blue-1,1
7,19:03:00,19:03:00,blue-2,2
7,19:07:00,19:07:00,blue-3,3
7,19:10:00,19:10:00,blue-4,4
7,19:15:00,19:15:00,blue-5,5
7,19:25:00,19:25:00,blue-6,6
7,19:28:00,19:28:00,blue-7,7
7,19:30:00,19:30:00,blue-8,8
7,19:40:00,19:40:00,blue-9,9
7,19:45:00,19:45:00,blue-10,10
7,19:50:00,19:50:00,blue-11,11
7,19:53:00,19:53:00,blue-12,12
7,19:56:00,19:56:00,blue-1,13
7,19:30:00,19:30:00,blue-1,1
7,19:33:00,19:33:00,blue-2,2
7,19:37:00,19:37:00,blue-3,3
7,19:40:00,19:40:00,blue-4,4
7,19:45:00,19:45:00,blue-5,5
7,19:55:00,19:55:00,blue-6,6
7,19:58:00,19:58:00,blue-7,7
7,20:00:00,20:00:00,blue-8,8
7,20:10:00,20:10:00,blue-9,9
7,20:15:00,20:15:00,blue-10,10
7,20:20:00,20:20:00,blue-11,11
7,20:23:00,20:23:00,blue-12,12
7,20:26:00,20:26:00,blue-1,13
7,20:00:00,20:00:00,blue-1,1
7,20:03:00,20:03:00,blue-2,2
7,20:07:00,20:07:00,blue-3,3
7,20:10:00,20:10:00,blue-4,4
7,20:15:00,20:15:00,blue-5,5
7,20:25:00,20:25:00,blue-6,6
7,20:28:00,20:28:00,blue-7,7
7,20:30:00,20:30:00,blue-8,8
7,20:40:00,20:40:00,blue-9,9
7,20:45:00,20:45:00,blue-10,10
7,20:50:00,20:50:00,blue-11,11
7,20:53:00,20:53:00,blue-12,12
7,20:56:00,20:56:00,blue-1,13
7,20:30:00,20:30:00,blue-1,1
7,20:33:00,20:33:00,blue-2,2
7,20:37:00,20:37:00,blue-3,3
7,20:40:00,20:40:00,blue-4,4
7,20:45:00,20:45:00,blue-5,5
7,20:55:00,20:55:00,blue-6,6
7,20:58:00,20:58:00,blue-7,7
7,21:00:00,21:00:00,blue-8,8
7,21:10:00,21:10:00,blue-9,9
7,21:15:00,21:15:00,blue-10,10
7,21:20:00,21:20:00,blue-11,11
7,21:23:00,21:23:00,blue-12,12
7,21:26:00,21:26:00,blue-1,13
7,21:00:00,21:00:00,blue-1,1
7,21:03:00,21:03:00,blue-2,2
7,21:07:00,21:07:00,blue-3,3
7,21:10:00,21:10:00,blue-4,4
7,21:15:00,21:15:00,blue-5,5
7,21:25:00,21:25:00,blue-6,6
7,21:28:00,21:28:00,blue-7,7
7,21:30:00,21:30:00,blue-8,8
7,21:40:00,21:40:00,blue-9,9
7,21:45:00,21:45:00,blue-10,10
7,21:50:00,21:50:00,blue-11,11
7,21:53:00,21:53:00,blue-12,12
7,21:56:00,21:56:00,blue-1,13
7,21:30:00,21:30:00,blue-1,1
7,21:33:00,21:33:00,blue-2,2
7,21:37:00,21:37:00,blue-3,3
7,21:40:00,21:40:00,blue-4,4
7,21:45:00,21:45:00,blue-5,5
7,21:55:00,21:55:00,blue-6,6
7,21:58:00,21:58:00,blue-7,7
7,22:00:00,22:00:00,blue-8,8
7,22:10:00,22:10:00,blue-9,9
7,22:15:00,22:15:00,blue-10,10
7,22:20:00,22:20:00,blue-11,11
7,22:23:00,22:23:00,blue-12,12
7,22:26:00,22:26:00,blue-1,13
7,22:00:00,22:00:00,blue-1,1
7,22:03:00,22:03:00,blue-2,2
7,22:07:00,22:07:00,blue-3,3
7,22:10:00,22:10:00,blue-4,4
7,22:15:00,22:15:00,blue-5,5
8,10:55:00,10:55:00,blue-6,1
8,10:58:00,10:58:00,blue-7,2
8,11:00:00,11:00:00,blue-8,3
8,11:10:00,11:10:00,blue-9,4
8,11:15:00,11:15:00,blue-10,5
8,11:20:00,11:20:00,blue-11,6
8,11:23:00,11:23:00,blue-12,7
8,11:26:00,11:26:00,blue-1,8
8,11:00:00,11:00:00,blue-1,1
8,11:03:00,11:03:00,blue-2,2
8,11:07:00,11:07:00,blue-3,3
8,11:10:00,11:10:00,blue-4,4
8,11:15:00,11:15:00,blue-5,5
8,11:25:00,11:25:00,blue-6,6
8,11:28:00,11:28:00,blue-7,7
8,11:30:00,11:30:00,blue-8,8
8,11:40:00,11:40:00,blue-9,9
8,11:45:00,11:45:00,blue-10,10
8,11:50:00,11:50:00,blue-11,11
8,11:53:00,11:53:00,blue-12,12
8,11:56:00,11:56:00,blue-1,13
8,11:30:00,11:30:00,blue-1,1
8,11:33:00,11:33:00,blue-2,2
8,11:37:00,11:37:00,blue-3,3
8,11:40:00,11:40:00,blue-4,4
8,11:45:00,11:45:00,blue-5,5
8,11:55:00,11:55:00,blue-6,6
8,11:58:00,11:58:00,blue-7,7
8,12:00:00,12:00:00,blue-8,8
8,12:10:00,12:10:00,blue-9,9
8,12:15:00,12:15:00,blue-10,10
8,12:20:00,12:20:00,blue-11,11
8,12:23:00,12:23:00,blue-12,12
8,12:26:00,12:26:00,blue-1,13
8,12:00:00,12:00:00,blue-1,1
8,12:03:00,12:03:00,blue-2,2
8,12:07:00,12:07:00,blue-3,3
8,12:10:00,12:10:00,blue-4,4
8,12:15:00,12:15:00,blue-5,5
8,12:25:00,12:25:00,blue-6,6
8,12:28:00,12:28:00,blue-7,7
8,12:30:00,12:30:00,blue-8,8
8,12:40:00,12:40:00,blue-9,9
8,12:45:00,12:45:00,blue-10,10
8,12:50:00,12:50:00,blue-11,11
8,12:53:00,12:53:00,blue-12,12
8,12:56:00,12:56:00,blue-1,13
8,12:30:00,12:30:00,blue-1,1
8,12:33:00,12:33:00,blue-2,2
8,12:37:00,12:37:00,blue-3,3
8,12:40:00,12:40:00,blue-4,4
8,12:45:00,12:45:00,blue-5,5
8,12:55:00,12:55:00,blue-6,6
8,12:58:00,12:58:00,blue-7,7
8,13:00:00,13:00:00,blue-8,8
8,13:10:00,13:10:00,blue-9,9
8,13:15:00,13:15:00,blue-10,10
8,13:20:00,13:20:00,blue-11,11
8,13:23:00,13:23:00,blue-12,12
8,13:26:00,13:26:00,blue-1,13
8,13:00:00,13:00:00,blue-1,1
8,13:03:00,13:03:00,blue-2,2
8,13:07:00,13:07:00,blue-3,3
8,13:10:00,13:10:00,blue-4,4
8,13:15:00,13:15:00,blue-5,5
8,13:25:00,13:25:00,blue-6,6
8,13:28:00,13:28:00,blue-7,7
8,13:30:00,13:30:00,blue-8,8
8,13:40:00,13:40:00,blue-9,9
8,13:45:00,13:45:00,blue-10,10
8,13:50:00,13:50:00,blue-11,11
8,13:53:00,13:53:00,blue-12,12
8,13:56:00,13:56:00,blue-1,13
8,13:30:00,13:30:00,blue-1,1
8,13:33:00,13:33:00,blue-2,2
8,13:37:00,13:37:00,blue-3,3
8,13:40:00,13:40:00,blue-4,4
8,13:45:00,13:45:00,blue-5,5
8,13:55:00,13:55:00,blue-6,6
8,13:58:00,13:58:00,blue-7,7
8,14:00:00,14:00:00,blue-8,8
8,14:10:00,14:10:00,blue-9,9
8,14:15:00,14:15:00,blue-10,10
8,14:20:00,14:20:00,blue-11,11
8,14:23:00,14:23:00,blue-12,12
8,14:26:00,14:26:00,blue-1,13
8,14:00:00,14:00:00,blue-1,1
8,14:03:00,14:03:00,blue-2,2
8,14:07:00,14:07:00,blue-3,3
8,14:10:00,14:10:00,blue-4,4
8,14:15:00,14:15:00,blue-5,5
8,14:25:00,14:25:00,blue-6,6
8,14:28:00,14:28:00,blue-7,7
8,14:30:00,14:30:00,blue-8,8
8,14:40:00,14:40:00,blue-9,9
8,14:45:00,14:45:00,blue-10,10
8,14:50:00,14:50:00,blue-11,11
